SMOKE TEST REPORT
seed=12345, semanas=160

SMOKE: plantou 3 ha (custo 6,000.00)
[semana 1] Custos semanais: -R$ 200.00 (Terras: R$ 200.00, Maquinário: R$ 0.00)
SMOKE: plantou 3 ha (custo 6,200.00)
[semana 2] Custos semanais: -R$ 200.00 (Terras: R$ 200.00, Maquinário: R$ 0.00)
SMOKE: plantou 3 ha (custo 6,400.00)
[semana 3] Custos semanais: -R$ 200.00 (Terras: R$ 200.00, Maquinário: R$ 0.00)
SMOKE: plantou 1 ha (custo 1,800.00)
[semana 4] Custos semanais: -R$ 200.00 (Terras: R$ 200.00, Maquinário: R$ 0.00)
[semana 5] Custos semanais: -R$ 200.00 (Terras: R$ 200.00, Maquinário: R$ 0.00)
[semana 6] Custos semanais: -R$ 200.00 (Terras: R$ 200.00, Maquinário: R$ 0.00)
[semana 7] Custos semanais: -R$ 200.00 (Terras: R$ 200.00, Maquinário: R$ 0.00)
[semana 8] Custos semanais: -R$ 200.00 (Terras: R$ 200.00, Maquinário: R$ 0.00)
[semana 9] Custos semanais: -R$ 200.00 (Terras: R$ 200.00, Maquinário: R$ 0.00)
SMOKE: colheu/vendeu 1 ha (receita 8,164.84)
[semana 10] Custos semanais: -R$ 200.00 (Terras: R$ 200.00, Maquinário: R$ 0.00) | Semana 10: 1 ha de plantações prontas para colher!
SMOKE: plantou 1 ha (custo 2,200.00)
SMOKE: colheu/vendeu 2 ha (receita 15,784.59)
[semana 11] Custos semanais: -R$ 200.00 (Terras: R$ 200.00, Maquinário: R$ 0.00) | Semana 11: 2 ha de plantações prontas para colher!
SMOKE: plantou 2 ha (custo 4,000.00)
SMOKE: colheu/vendeu 2 ha (receita 15,028.90)
[semana 12] Custos semanais: -R$ 200.00 (Terras: R$ 200.00, Maquinário: R$ 0.00) | Novas propriedades disponíveis na imobiliária! | Semana 12: 2 ha de plantações prontas para colher!
SMOKE: plantou 2 ha (custo 4,200.00)
SMOKE: colheu/vendeu 1 ha (receita 8,105.75)
[semana 13] Custos semanais: -R$ 200.00 (Terras: R$ 200.00, Maquinário: R$ 0.00) | Semana 13: 1 ha de plantações prontas para colher!
SMOKE: plantou 1 ha (custo 2,000.00)
SMOKE: colheu/vendeu 1 ha (receita 8,344.10)
[semana 14] Custos semanais: -R$ 200.00 (Terras: R$ 200.00, Maquinário: R$ 0.00) | Semana 14: 1 ha de plantações prontas para colher!
SMOKE: plantou 1 ha (custo 1,800.00)
[semana 15] Custos semanais: -R$ 200.00 (Terras: R$ 200.00, Maquinário: R$ 0.00)
SMOKE: colheu/vendeu 2 ha (receita 22,213.58)
[semana 16] Custos semanais: -R$ 200.00 (Terras: R$ 200.00, Maquinário: R$ 0.00) | Semana 16: 2 ha de plantações prontas para colher!
SMOKE: plantou 2 ha (custo 4,000.00)
[semana 17] Custos semanais: -R$ 200.00 (Terras: R$ 200.00, Maquinário: R$ 0.00)
[semana 18] Custos semanais: -R$ 200.00 (Terras: R$ 200.00, Maquinário: R$ 0.00)
SMOKE: colheu/vendeu 1 ha (receita 13,079.17)
[semana 19] Custos semanais: -R$ 200.00 (Terras: R$ 200.00, Maquinário: R$ 0.00) | Semana 19: 1 ha de plantações prontas para colher!
SMOKE: plantou 1 ha (custo 1,800.00)
